"Leg","City","Region","Title","Description","Ideal for","How to get there","Cost","Category","Reach","Adventure","Website","Google Maps","Photo"
"1","Milan","Lombardy","Aperitivo culture / Camparino in Galleria","Beyond the Navigli: Brera's terraces and the Camparino in Galleria, birthplace of the Milanese spritz-and-snacks ritual.","all","In Milan — Galleria Vittorio Emanuele II, Metro Duomo","","dining","In town","","https://camparino.com/en/","https://www.google.com/maps/search/?api=1&query=Aperitivo%20culture%20%2F%20Camparino%20in%20Galleria%20Milan%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Full_Milan_skyline_from_Duomo_roof.jpg?width=640"
"1","Milan","Lombardy","Bagatti Valsecchi house-museum","A Neo-Renaissance fantasy home crammed with armour, curiosities, secret compartments and hidden plumbing disguised as antiques.","jude · all","In Milan — Montenapoleone, Metro M3 Montenapoleone","","secret","In town","","https://museobagattivalsecchi.org/en","https://www.google.com/maps/search/?api=1&query=Bagatti%20Valsecchi%20house-museum%20Milan%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Full_Milan_skyline_from_Duomo_roof.jpg?width=640"
"1","Milan","Lombardy","Bar Luce at Fondazione Prada","Wes Anderson designed this cafe — pastel terrazzo, jukebox, two custom pinball machines; inside Fondazione Prada with its gold 'Haunted House' tower.","grey · rhys","In Milan — Metro M3 Lodi T.I.B.B.","Cafe free, gallery ticketed","weird","In town","","https://www.fondazioneprada.org/barluce-en/?lang=en","https://www.google.com/maps/search/?api=1&query=Bar%20Luce%20at%20Fondazione%20Prada%20Milan%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Full_Milan_skyline_from_Duomo_roof.jpg?width=640"
"1","Milan","Lombardy","Branca Tower","A skeletal 108m steel tower Gio Ponti built in Parco Sempione in ten weeks in 1933; a glass lift shoots you to a tiny belvedere with Alp views.","keir · jude","In Milan — Parco Sempione, Metro M1/M2 Cadorna","","whoa","In town","","https://www.yesmilano.it/en/see-and-do/venues/torre-branca","https://www.google.com/maps/search/?api=1&query=Branca%20Tower%20Milan%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Full_Milan_skyline_from_Duomo_roof.jpg?width=640"
"1","Milan","Lombardy","Brera district + Orto Botanico di Brera","Milan's arty village of cobbled lanes and galleries wrapped around a hidden 18th-century botanical garden with ancient ginkgos.","keir · all","In Milan — Brera, Metro M2/M3 Lanza or Montenapoleone","Botanic garden free","nature","In town","","https://www.ortibotanici.unimi.it/","https://www.google.com/maps/search/?api=1&query=Brera%20district%20%2B%20Orto%20Botanico%20di%20Brera%20Milan%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Full_Milan_skyline_from_Duomo_roof.jpg?width=640"
"1","Milan","Lombardy","Brera Pinacoteca","Raphael, Caravaggio and Mantegna's foreshortened dead Christ in one grand gallery; do it only if craving painting.","all","In Milan — Brera, Metro M2/M3 Lanza","","art","In town","","https://pinacotecabrera.org/en/","https://www.google.com/maps/search/?api=1&query=Brera%20Pinacoteca%20Milan%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Full_Milan_skyline_from_Duomo_roof.jpg?width=640"
"1","Milan","Lombardy","Cimitero Monumentale","An open-air museum of Art Nouveau and Symbolist tombs — melting bronze figures, miniature temples, impossible staircases. Free, uncrowded.","all","In Milan — Metro M5 Monumentale","Free","weird","In town","","https://monumentale.comune.milano.it/","https://www.google.com/maps/search/?api=1&query=Cimitero%20Monumentale%20Milan%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Full_Milan_skyline_from_Duomo_roof.jpg?width=640"
"1","Milan","Lombardy","Classic Milanese food crawl","Saffron risotto alla milanese, breaded cotoletta, slow-braised ossobuco, and panettone — Milan invented all four.","grey · all","In Milan — trattorias citywide","","food","In town","","","https://www.google.com/maps/search/?api=1&query=Classic%20Milanese%20food%20crawl%20Milan%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Full_Milan_skyline_from_Duomo_roof.jpg?width=640"
"1","Milan","Lombardy","Duomo → La Scala kids' treasure hunt","A scavenger hunt through the centre with clues and a prize.","grey · keir","In Milan — starts at the Duomo","~€25pp","hunt","In town","","","https://www.google.com/maps/search/?api=1&query=Duomo%20%E2%86%92%20La%20Scala%20kids'%20treasure%20hunt%20Milan%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Full_Milan_skyline_from_Duomo_roof.jpg?width=640"
"1","Milan","Lombardy","Duomo + rooftop terraces","Walk up among the spires and flying buttresses with the Alps on the horizon; book a timed rooftop ticket to skip the line.","all","In Milan — Piazza del Duomo, Metro M1/M3 Duomo","","architecture","In town","★","https://www.duomomilano.it/en/","https://www.google.com/maps/search/?api=1&query=Duomo%20%2B%20rooftop%20terraces%20Milan%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Milan_Cathedral_from_Piazza_del_Duomo.jpg?width=800"
