"id","leg","city","region","title","ideal_for","category","reach","cost","how_to_get_there","website","status","notes","updated"
"1-aperitivo-culture-camparino-in-galleria","1","Milan","Lombardy","Aperitivo culture / Camparino in Galleria","all","dining","base","","In Milan — Galleria Vittorio Emanuele II, Metro Duomo","https://camparino.com/en/","","",""
"1-bagatti-valsecchi-house-museum","1","Milan","Lombardy","Bagatti Valsecchi house-museum","jude · all","secret","base","","In Milan — Montenapoleone, Metro M3 Montenapoleone","https://museobagattivalsecchi.org/en","","",""
"1-bar-luce-at-fondazione-prada","1","Milan","Lombardy","Bar Luce at Fondazione Prada","grey · rhys","weird","base","Cafe free, gallery ticketed","In Milan — Metro M3 Lodi T.I.B.B.","https://www.fondazioneprada.org/barluce-en/?lang=en","","",""
"1-branca-tower","1","Milan","Lombardy","Branca Tower","keir · jude","whoa","base","","In Milan — Parco Sempione, Metro M1/M2 Cadorna","https://www.yesmilano.it/en/see-and-do/venues/torre-branca","","",""
"1-brera-district-orto-botanico-di-brera","1","Milan","Lombardy","Brera district + Orto Botanico di Brera","keir · all","nature","base","Botanic garden free","In Milan — Brera, Metro M2/M3 Lanza or Montenapoleone","https://www.ortibotanici.unimi.it/","","",""
"1-brera-pinacoteca","1","Milan","Lombardy","Brera Pinacoteca","all","art","base","","In Milan — Brera, Metro M2/M3 Lanza","https://pinacotecabrera.org/en/","","",""
"1-cimitero-monumentale","1","Milan","Lombardy","Cimitero Monumentale","all","weird","base","Free","In Milan — Metro M5 Monumentale","https://monumentale.comune.milano.it/","","",""
"1-classic-milanese-food-crawl","1","Milan","Lombardy","Classic Milanese food crawl","grey · all","food","base","","In Milan — trattorias citywide","","","",""
"1-duomo-la-scala-kids-treasure-hunt","1","Milan","Lombardy","Duomo → La Scala kids' treasure hunt","grey · keir","hunt","base","~€25pp","In Milan — starts at the Duomo","","","",""
"1-duomo-rooftop-terraces","1","Milan","Lombardy","Duomo + rooftop terraces","all","architecture","base","","In Milan — Piazza del Duomo, Metro M1/M3 Duomo","https://www.duomomilano.it/en/","","",""
"1-duomo-archaeological-area-battistero","1","Milan","Lombardy","Duomo archaeological area + Battistero","all","underground","base","","In Milan — under the Duomo, Metro Duomo; combo ticket","https://www.duomomilano.it/en/","","",""
"1-galleria-vittorio-emanuele-ii-bull-heel-spin","1","Milan","Lombardy","Galleria Vittorio Emanuele II + bull-heel spin","all","architecture","base","Free","In Milan — between Duomo and La Scala, Metro Duomo","","","",""
"1-gelato-the-galleria","1","Milan","Lombardy","Gelato + the Galleria","grey · keir · all","food","base","","In Milan — Galleria Vittorio Emanuele II, Metro Duomo","https://www.yesmilano.it/en","","",""
"1-highline-galleria-skywalk","1","Milan","Lombardy","Highline Galleria skywalk","rhys · all","thrill","base","from ~€15pp","In Milan — Galleria Vittorio Emanuele II, Metro Duomo","https://highlinegalleria.it/en/homepage-english/","","",""
"1-leonardo-science-museum-the-toti-submarine","1","Milan","Lombardy","Leonardo Science Museum + the Toti submarine","all · keir · jude","machines","base","Under-18 free · adults ~€10","In Milan — ~30 min by metro from the flat","https://www.museoscienza.org/en","","",""
"1-museo-di-storia-naturale-mineral-gem-hall","1","Milan","Lombardy","Museo di Storia Naturale — mineral & gem hall","jude · keir","rock","base","Under-18 free · adults ~€5","In Milan — metro to Porta Venezia, ~30 min","https://www.comune.milano.it","","",""
"1-museum-of-senses","1","Milan","Lombardy","Museum of Senses","all","weird","base","~€16pp","In Milan — central","","","",""
"1-navigli-canals-aperitivo","1","Milan","Lombardy","Navigli canals aperitivo","rhys","dining","base","Free to wander","In Milan — Naviglio Grande, Metro M2 Porta Genova","","","",""
"1-panzerotti-at-luini","1","Milan","Lombardy","Panzerotti at Luini","grey","food","base","A couple of euros","In Milan — behind the Duomo, Metro Duomo","https://www.luini.it/","","",""
"1-san-bernardino-alle-ossa-bone-chapel","1","Milan","Lombardy","San Bernardino alle Ossa (bone chapel)","rhys · jude","weird","base","Free","In Milan — near Piazza Santo Stefano, walkable from Duomo","","","",""
"1-sforza-castle-michelangelo-s-rondanini-pieta","1","Milan","Lombardy","Sforza Castle + Michelangelo's Rondanini Pieta","all","castle","base","under-18 free","In Milan — Castello Sforzesco, Metro M1 Cairoli","https://www.milanocastello.it/en","","",""
"1-the-last-supper-cenacolo-vinciano","1","Milan","Lombardy","The Last Supper / Cenacolo Vinciano","all","art","base","","In Milan — Santa Maria delle Grazie; metro/tram to Conciliazione or Cadorna","https://cenacolovinciano.org/","","",""
"1-wwii-air-raid-shelter-piazza-grandi","1","Milan","Lombardy","WWII air-raid shelter, Piazza Grandi","jude · keir","underground","base","Free","In Milan — Piazza Grandi, Metro/tram; advance booking required","https://www2.comune.milano.it/en/web/municipio-4/servizi/rifugio-antiaereo-di-piazza-grandi","","",""
"1-bernina-railway-from-tirano","1","Tirano","Lombardy","Bernina Railway from Tirano","jude · all","transport","day","~€60pp round-ish","Day-trip — train ~2h30 to Tirano, then the Bernina","","","",""
"1-cremona-violin-making-workshop","1","Cremona","Lombardy","Cremona — violin-making workshop","jude","craft","day","varies","Day-trip — train ~1h from Milan","","","",""
"1-museo-alfa-romeo-arese","1","Arese","Lombardy","Museo Alfa Romeo, Arese","jude","machines","day","","M1 metro to Rho Fiera, then Z120 bus; ~45-60 min each way","https://www.museoalfaromeo.com/en-us","","",""
"1-orrido-di-nesso-lake-como","1","Lake Como","Lombardy","Orrido di Nesso — Lake Como","all","water","day","Free / low","Day-trip — train to Como + bus/boat","","","",""
"1-rocca-di-angera-lake-maggiore","1","Lake Maggiore","Lombardy","Rocca di Angera — Lake Maggiore","keir","castle","day","~€11pp","Day-trip — train ~1h + ferry","","","",""
"2-novara-climb-inside-the-san-gaudenzio-dome","2","Novara","Piedmont","Novara — climb inside the San Gaudenzio dome","all","detour","way","~€12pp","On the Milan→Turin train day — 10-min walk from Novara station","","","",""
"2-aperitivo-at-piazza-vittorio-veneto","2","Turin","Piedmont","Aperitivo at Piazza Vittorio Veneto","rhys · all","dining","base","Free to wander","In Turin — Piazza Vittorio Veneto, early evening","","","",""
"2-bicerin-at-caffe-al-bicerin","2","Turin","Piedmont","Bicerin at Caffe Al Bicerin","grey · all","dining","base","","In Turin — Piazza della Consolata","https://bicerin.it/en/","","",""
"2-chocolate-making-experience","2","Turin","Piedmont","Chocolate-making experience","grey","food","base","varies","In Turin — central","","","",""
"2-gianduiotto-and-the-chocolate-crawl","2","Turin","Piedmont","Gianduiotto and the chocolate crawl","all","food","base","","In Turin — historic chocolatiers under the arcades, citywide","","","",""
"2-magic-turin-black-and-white-squares-walk","2","Turin","Piedmont","Magic Turin — black and white squares walk","rhys · all","weird","base","Free","In Turin — self-guided walk, or book a night ghost-walk","https://www.turismotorino.org/en","","",""
"2-mauto-national-automobile-museum","2","Turin","Piedmont","MAUTO — National Automobile Museum","jude","machines","base","","In Turin — Metro toward Lingotto","https://www.museoauto.com/en/","","",""
"2-mole-antonelliana-glass-lift-cinema-museum","2","Turin","Piedmont","Mole Antonelliana — glass lift + Cinema Museum","keir · all","whoa","base","~€15pp (lift+museum)","In Turin — ~8-min walk from the flat","https://www.museocinema.it/en","","",""
"2-museo-egizio","2","Turin","Piedmont","Museo Egizio","keir · all","whoa","base","Under-18 free · adults ~€18","In Turin — ~10-min walk","https://museoegizio.it/en/","","",""
"2-museo-lombroso-criminal-anthropology","2","Turin","Piedmont","Museo Lombroso — criminal anthropology","rhys","weird","base","~€8pp","In Turin — central","","","",""
"2-museo-regionale-di-scienze-naturali","2","Turin","Piedmont","Museo Regionale di Scienze Naturali","jude","rock","base","~€10pp","In Turin — central","","","",""
"2-museum-of-illusions","2","Turin","Piedmont","Museum of Illusions","all","weird","base","~€12pp","In Turin — central","","","",""
"2-superga-rack-railway","2","Turin","Piedmont","Superga rack railway","keir · grey","transport","base","~€9pp return","In Turin — tram 15 to Sassi, then the rack railway","https://www.turismotorino.org/en","","",""
"2-the-arcades-piazza-san-carlo","2","Turin","Piedmont","The arcades + Piazza San Carlo","all","architecture","base","Free to wander","In Turin — walk Via Roma through the centre","","","",""
"2-the-lingotto-rooftop-test-track-pista-500","2","Turin","Piedmont","The Lingotto rooftop test track (Pista 500)","jude · all","transport","base","Rooftop (Pista 500) ticketed but cheap","In Turin — Metro to Lingotto","https://pinacoteca-agnelli.it/en/pista-500/","","",""
"2-the-pietro-micca-tunnels","2","Turin","Piedmont","The Pietro Micca tunnels","jude · keir","underground","base","","In Turin — central; book a guided descent","https://www.museopietromicca.it/","","",""
"2-torino-sotterranea-underground-turin","2","Turin","Piedmont","Torino Sotterranea — underground Turin","all","underground","base","~€15pp","In Turin — guided, central meeting point","","","",""
"2-damanhur-temples-of-humankind","2","Vidracco (Ivrea)","Piedmont","Damanhur — Temples of Humankind","all","underground","day","€78pp (Classic Visit)","Best as Mon Sep 14 day-trip — train Turin→Ivrea (~1h) + taxi (~€30); pre-book English tour","https://damanhur.travel/tour/classicvisit-visit-english/","","",""
"2-grotta-di-bossea","2","Frabosa (Cuneo)","Piedmont","Grotta di Bossea","jude","caves","day","~€12pp","Day-trip — needs bus/car from Mondovì; long","","","",""
"2-sacra-di-san-michele","2","Sant'Ambrogio","Piedmont","Sacra di San Michele","all","castle","day","~€8pp","Day-trip — train to Sant'Ambrogio + shuttle up","https://www.sacradisanmichele.com/","","",""
"2-truffle-hunt-with-dogs-langhe","2","Langhe / Alba","Piedmont","Truffle hunt with dogs — Langhe","all","food","day","~€40–60pp","Day-trip — train to Alba, operator pickup","","","",""
"2-forte-di-bard","2","Bard","Aosta Valley","Forte di Bard","all · keir","castle","far","~€12pp per museum","Far — train + bus ~2h; better on its own trip","","","",""
"3-genoa-the-sacro-catino-holy-grail","3","Genoa","Liguria","Genoa — the Sacro Catino 'Holy Grail'","all","detour","way","~€40 (treasury)","On the Turin→Chiavari day — central Genoa (open Tue, midday-closes)","","","",""
"3-genoa-walk-through-a-real-submarine","3","Genoa","Liguria","Genoa — walk through a real submarine","all","detour","way","~€90–105 (combo ticket)","On the Turin→Chiavari train day — you change in Genoa anyway; 10-min walk from Piazza Principe","https://en.galatamuseodelmare.it/","","",""
"3-cinque-terre-sea-kayak-caves-cliffs","3","Cinque Terre","Liguria","Cinque Terre sea-kayak — caves & cliffs","rhys · all","thrill","base","~€40–60pp","Train to Monterosso/Riomaggiore + operator","https://www.parconazionale5terre.it/","","",""
"3-make-pesto-by-hand","3","Levanto / Genoa","Liguria","Make pesto by hand","grey · all","food","base","varies","In the area — class in Levanto or Genoa","https://www.visitgenoa.it/en","","",""
"3-monterosso-beach-the-coastal-ferry","3","Monterosso","Liguria","Monterosso beach + the coastal ferry","keir","water","base","Ferry ~€20pp day","Train ~50 min from Chiavari; ferry between villages","","","",""
"3-portovenere-the-byron-grotto","3","Portovenere","Liguria","Portovenere & the Byron Grotto","all","water","base","Ferry ~€15pp","Train to La Spezia + boat/bus to Portovenere","https://www.navigazionegolfodeipoeti.it/","","",""
"3-rest-and-beach-day-on-the-tigullio","3","Ligurian coast","Liguria","Rest and beach day on the Tigullio","all","water","base","","On foot in Chiavari — zero trains","https://www.comune.chiavari.ge.it/","","",""
"3-seafront-trattoria-di-mare-chiavari","3","Chiavari","Liguria","Seafront trattoria di mare, Chiavari","all","dining","base","","On foot in Chiavari, the coast base town — no transport needed.","","","",""
"3-a-stretch-of-the-blue-trail","3","Cinque Terre","Liguria","A stretch of the Blue Trail","rhys · jude","nature","day","","Train to Monterosso, hike one leg, train the rest","https://www.parconazionale5terre.it/sentieri.php","","",""
"3-a-swim-small-boat-day","3","Cinque Terre","Liguria","A swim / small-boat day","all","water","day","","Boats/coves reached from the Cinque Terre villages","","","",""
"3-antro-del-corchia-apuan-alps-cave","3","Apuan Alps","Tuscany","Antro del Corchia — Apuan Alps cave","jude","caves","day","~€12pp","Day-trip — train toward Carrara + bus/taxi up; long","","","",""
"3-baia-del-silenzio-sestri-levante","3","Sestri Levante","Liguria","Baia del Silenzio, Sestri Levante","keir · grey · all","water","day","~€680-760 for 6","Train 10 min east from Chiavari to Sestri Levante","https://www.sestri-levante.net/","","",""
"3-camogli-the-portofino-headland","3","Camogli","Liguria","Camogli + the Portofino headland","all","sight","day","","Train ~25 min west from Chiavari to Camogli","https://www.visitgenoa.it/en/camogli","","",""
"3-camogli-to-san-fruttuoso-by-boat","3","Camogli","Liguria","Camogli to San Fruttuoso by boat","all","whoa","day","","Train ~25 min west to Camogli, then ferry around the headland (calm-sea day)","https://www.visitgenoa.it/en/abbey-san-fruttuoso","","",""
"3-christ-of-the-abyss-snorkel-san-fruttuoso","3","San Fruttuoso","Liguria","Christ of the Abyss snorkel, San Fruttuoso","all","water","day","","Ferry to San Fruttuoso from Camogli/S. Margherita, then snorkel or glass-bottom boat","https://www.visitgenoa.it/en/abbey-san-fruttuoso","","",""
"3-da-giovanni-abbey-cove","3","San Fruttuoso","Liguria","Da Giovanni · abbey cove","all","dining","day","~€40-55pp","Ferry from Camogli or Santa Margherita; confirm return boat time","","","",""
"3-ferry-gelato-and-focaccia-crawl","3","Cinque Terre","Liguria","Ferry + gelato-and-focaccia crawl","all","food","day","","Village-to-village by ferry","https://www.navigazionegolfodeipoeti.it/","","",""
"3-focaccia-di-recco-and-the-pesto-homeland","3","Recco","Liguria","Focaccia di Recco and the pesto homeland","all","food","day","","Recco sits right on the Chiavari rail line","","","",""
"3-genova-aquarium","3","Genoa","Liguria","Genova Aquarium","keir","water","day","~€27pp","Day-trip — train to Genoa, Porto Antico","","","",""
